Make,Model,Series launch year,Trim / Version,Year start,Year end,Production start,Production end,New Price,Used price range,Fuel consumption (mpg),Insurance group,Annual road tax,Miles per pound (mpp),Power (bhp),Top Speed (mph),0-60 mph (secs),Torque (Nm),Torque (ft-lb),CO2 Emissions (g/km),Euro Emissions Standard,Miles Per Tank,Fuel Capacity (litres),Weight (kg),Length (mm),Width (mm),Height (mm),Wheelbase (mm),Turning Circle (m),Engine Size (cc),Cylinders,Valves,Fuel Type,Transmission,Gearbox,Drivetrain,Doors,Seats,Luggage Capacity (litres),Unbraked Towing Weight (kg),Braked Towing Weight (kg),EuroNCAP Rating,EuroNCAP Rating description,Adult Occupant,Child Occupant,Pedestrian,New Adult Occupant,New Child Occupant,New Vulnerable Road Users,New Safety Assist,Country,Status,Series (production years start-end),Image URL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW,3-Series,Saloon 2019 specs,318d MHT SE Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£36,985","£24,000 - £29,645",60.1 - 62.8 mpg,26,£165,6.6 - 6.9 mpp,147,139,7.9,320,236,119,6,-,40,1540,4709,2068,1435,2851,11,1995,4,16,Diesel,Automatic,8 Speed,Rear wheel drive,4,5,480,750,1600,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,318d SE Pro 4dr,2021,2022,03/01/2021,03/01/2022,"£35,435","£22,735 - £28,125",56.5 - 58.9 mpg,26,£165,6.2 - 6.5 mpp,147,140,8.1,320,236,126,6,-,40,1485,4709,2068,1435,2851,11,1995,4,16,Diesel,Manual,6 Speed,Rear wheel drive,4,5,480,740,1600,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,320d MHT SE Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£38,535","£26,155 - £32,345",60.1 - 61.4 mpg,30,£165,6.6 - 6.8 mpp,187,149,6.6,400,295,119,6,-,40,1540,4709,2068,1435,2851,11,1995,4,16,Diesel,Automatic,8 Speed,Rear wheel drive,4,5,480,750,1600,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,320d xDrive MHT SE Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£40,085","£27,370 - £33,860",55.4 - 57.6 mpg,30,£520,6.1 - 6.4 mpp,187,144,6.6,400,295,130,6,-,40,1620,4709,2068,1445,2851,12,1995,4,16,Diesel,Automatic,8 Speed,4 wheel drive,4,5,480,750,1800,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,318i SE Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£33,030","£23,580 - £29,135",43.5 - 44.1 mpg,24,£165,5.0 - 5.1 mpp,153,139,8.1,250,184,144,6,-,59,1490,4709,2068,1435,2851,11,1998,4,16,Petrol,Automatic,8 Speed,Rear wheel drive,4,5,480,750,1300,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,320i SE Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£35,425","£24,420 - £30,205",42.8 - 44.1 mpg,28,£165,5.0 - 5.1 mpp,181,146,6.9,300,221,145,6,-,59,1495,4709,2068,1435,2851,11,1998,4,16,Petrol,Automatic,8 Speed,Rear wheel drive,4,5,480,750,1600,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,320i xDrive SE Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£37,055","£25,315 - £31,275",40.9 - 42.2 mpg,28,£165,4.7 - 4.9 mpp,181,143,7.4,300,221,153,6,-,59,1560,4709,2068,1445,2851,12,1998,4,16,Petrol,Automatic,8 Speed,4 wheel drive,4,5,480,750,1800,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,330i Sport Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£40,865","£28,685 - £35,435",40.9 - 43.5 mpg,32,£520,4.7 - 5.0 mpp,254,155,5.7,400,295,148,6,-,59,1470,4709,2068,1435,2851,11,1998,4,16,Petrol,Automatic,8 Speed,Rear wheel drive,4,5,480,750,1600,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
BMW,3-Series,Saloon 2019 specs,330d MHT Sport Pro 4dr Step Auto,2021,2022,03/01/2021,03/01/2022,"£43,090","£30,790 - £38,025",53.3 - 56.5 mpg,40,£520,5.9 - 6.2 mpp,281,155,5.1,650,479,131,6,-,59,1695,4709,2068,1435,2851,11,2993,6,24,Diesel,Automatic,8 Speed,Rear wheel drive,4,5,480,750,1800,https://parkers-assets.bauersecure.com/images/euroncap/post2009-5stars.png,"The BMW 3-Series Saloon was tested by Euro NCAP in 2019 and was awarded a  5 star overall rating.
This overall rating is calculated from the following individual ratings:",,,,0.97,0.87,0.87,0.76,Germany,production,BMW 3-Series Saloon (2019 onwards),https://parkers-images.bauersecure.com/pagefiles/276019/cut-out/bmw-3-series-01.jpeg
