date,HICP,"Euro area (changing composition) - HICP - Overall index, Monthly Index, European Central Bank, Working day and seasonally adjusted"Collection:,Average of observations through period (A) Period\Unit:,[2015 = 100]
2023Mar,122.36,Normal value (A),
2023Feb,122.03,Normal value (A),
2023Jan,121.30,Normal value (A),
2022Dec,120.58,Normal value (A),
2022Nov,121.10,Normal value (A),
2022Oct,120.84,Normal value (A),
2022Sep,119.18,Normal value (A),
2022Aug,117.94,Normal value (A),
2022Jul,117.24,Normal value (A),
2022Jun,116.42,Normal value (A),
2022May,115.49,Normal value (A),
2022Apr,114.60,Normal value (A),
2022Mar,114.49,Normal value (A),
2022Feb,112.47,Normal value (A),
2022Jan,111.60,Normal value (A),
2021Dec,110.41,Normal value (A),
2021Nov,110.02,Normal value (A),
2021Oct,109.22,Normal value (A),
2021Sep,108.41,Normal value (A),
2021Aug,108.09,Normal value (A),
2021Jul,107.76,Normal value (A),
2021Jun,107.17,Normal value (A),
2021May,106.85,Normal value (A),
2021Apr,106.64,Normal value (A),
2021Mar,106.52,Normal value (A),
2021Feb,106.29,Normal value (A),
2021Jan,106.20,Normal value (A),
2020Dec,105.17,Normal value (A),
2020Nov,105.03,Normal value (A),
2020Oct,104.90,Normal value (A),
2020Sep,104.76,Normal value (A),
2020Aug,104.76,Normal value (A),
2020Jul,105.23,Normal value (A),
2020Jun,105.07,Normal value (A),
2020May,104.81,Normal value (A),
2020Apr,104.98,Normal value (A),
2020Mar,105.20,Normal value (A),
2020Feb,105.45,Normal value (A),
2020Jan,105.44,Normal value (A),
2019Dec,105.43,Normal value (A),
2019Nov,105.30,Normal value (A),
2019Oct,105.18,Normal value (A),
2019Sep,105.07,Normal value (A),
2019Aug,104.98,Normal value (A),
2019Jul,104.88,Normal value (A),
2019Jun,104.80,Normal value (A),
2019May,104.75,Normal value (A),
2019Apr,104.65,Normal value (A),
2019Mar,104.38,Normal value (A),
2019Feb,104.18,Normal value (A),
2019Jan,104.04,Normal value (A),
2018Dec,104.04,Normal value (A),
2018Nov,104.36,Normal value (A),
2018Oct,104.35,Normal value (A),
2018Sep,104.13,Normal value (A),
2018Aug,103.84,Normal value (A),
2018Jul,103.72,Normal value (A),
2018Jun,103.55,Normal value (A),
2018May,103.43,Normal value (A),
2018Apr,102.99,Normal value (A),
2018Mar,102.90,Normal value (A),
2018Feb,102.75,Normal value (A),
2018Jan,102.75,Normal value (A),
2017Dec,102.45,Normal value (A),
2017Nov,102.34,Normal value (A),
2017Oct,102.03,Normal value (A),
2017Sep,101.99,Normal value (A),
2017Aug,101.76,Normal value (A),
2017Jul,101.57,Normal value (A),
2017Jun,101.50,Normal value (A),
2017May,101.52,Normal value (A),
2017Apr,101.64,Normal value (A),
2017Mar,101.49,Normal value (A),
2017Feb,101.59,Normal value (A),
2017Jan,101.42,Normal value (A),
2016Dec,101.07,Normal value (A),
2016Nov,100.76,Normal value (A),
2016Oct,100.64,Normal value (A),
2016Sep,100.43,Normal value (A),
2016Aug,100.30,Normal value (A),
2016Jul,100.30,Normal value (A),
2016Jun,100.29,Normal value (A),
2016May,100.08,Normal value (A),
2016Apr,99.83,Normal value (A),
2016Mar,99.85,Normal value (A),
2016Feb,99.62,Normal value (A),
2016Jan,99.70,Normal value (A),
2015Dec,99.95,Normal value (A),
2015Nov,100.16,Normal value (A),
2015Oct,100.11,Normal value (A),
2015Sep,100.03,Normal value (A),
2015Aug,100.09,Normal value (A),
2015Jul,100.16,Normal value (A),
2015Jun,100.25,Normal value (A),
2015May,100.21,Normal value (A),
2015Apr,100.02,Normal value (A),
2015Mar,99.93,Normal value (A),
2015Feb,99.74,Normal value (A),
2015Jan,99.37,Normal value (A),
2014Dec,99.52,Normal value (A),
2014Nov,99.81,Normal value (A),
2014Oct,99.87,Normal value (A),
2014Sep,99.98,Normal value (A),
2014Aug,99.88,Normal value (A),
2014Jul,99.83,Normal value (A),
2014Jun,99.83,Normal value (A),
2014May,99.75,Normal value (A),
2014Apr,99.84,Normal value (A),
2014Mar,99.81,Normal value (A),
2014Feb,99.84,Normal value (A),
2014Jan,99.77,Normal value (A),
2013Dec,99.69,Normal value (A),
2013Nov,99.50,Normal value (A),
2013Oct,99.48,Normal value (A),
2013Sep,99.66,Normal value (A),
2013Aug,99.58,Normal value (A),
2013Jul,99.52,Normal value (A),
2013Jun,99.36,Normal value (A),
2013May,99.22,Normal value (A),
2013Apr,99.18,Normal value (A),
2013Mar,99.27,Normal value (A),
2013Feb,99.13,Normal value (A),
